matrix_id,recon_type,pattern_type,parameter_value,samp_rat,arr_size,seed,M,N_pixels,mean,var,std,contrast,entropy,autocorrelation width,effective_rank,cond_number,mutual coherence,nmse,psnr,ssim,runtime
CGI_binary_30_size32_samprat30_seed47,CGI,Binary,30,30,32,47,307,1024,0.3013506463762215,0.210538434304855,0.45884467339706037,1.5226271418800699,0.8822808847427905,2.0,278,25.07700866781129,0.5131512494000137,5.003759916292368,7.354694966499493,0.17515298362462425,0.0004704999955720268
DGI_binary_30_size32_samprat30_seed47,DGI,Binary,30,30,32,47,307,1024,0.3013506463762215,0.210538434304855,0.45884467339706037,1.5226271418800699,0.8822808847427905,2.0,278,25.07700866781129,0.5131512494000137,3.184442627941379,9.317325315476934,0.24261539667571075,0.0006712999966111965
Ridge_binary_30_size32_samprat30_seed47,Ridge,Binary,30,30,32,47,307,1024,0.3013506463762215,0.210538434304855,0.45884467339706037,1.5226271418800699,0.8822808847427905,2.0,278,25.07700866781129,0.5131512494000137,2.4321403853130112,10.48777321245794,0.28792367191606927,0.00073079999856418
CGI_binary_60_size32_samprat30_seed47,CGI,Binary,60,30,32,47,307,1024,0.601559319014658,0.23968570472127881,0.48957706719297917,0.8138467009273211,0.9693630286397866,2.0,255,46.91080833334901,0.7347953623185262,3.799090583728823,8.550863116434526,0.18857322546718228,0.0008903999987524003
DGI_binary_60_size32_samprat30_seed47,DGI,Binary,60,30,32,47,307,1024,0.601559319014658,0.23968570472127881,0.48957706719297917,0.8138467009273211,0.9693630286397866,2.0,255,46.91080833334901,0.7347953623185262,3.9855824361388987,8.342741641086427,0.20970608617308673,0.0006312999976216815
Ridge_binary_60_size32_samprat30_seed47,Ridge,Binary,60,30,32,47,307,1024,0.601559319014658,0.23968570472127881,0.48957706719297917,0.8138467009273211,0.9693630286397866,2.0,255,46.91080833334901,0.7347953623185262,2.9783453222105165,9.607909101229053,0.26321838385026286,0.0006854000021121465
CGI_binary_90_size32_samprat30_seed47,CGI,Binary,90,30,32,47,307,1024,0.9001488701140065,0.08988088174648394,0.2998014038434175,0.3330575794702867,0.4678046232268905,2.0,189,116.21706507675563,0.9499490652535467,3.3750740404221635,9.064826558622682,0.15239767915874333,0.0005498000027728267
DGI_binary_90_size32_samprat30_seed47,DGI,Binary,90,30,32,47,307,1024,0.9001488701140065,0.08988088174648394,0.2998014038434175,0.3330575794702867,0.4678046232268905,2.0,189,116.21706507675563,0.9499490652535467,3.05479898512167,9.497833227875423,0.2232591330310193,0.0011761999994632788
Ridge_binary_90_size32_samprat30_seed47,Ridge,Binary,90,30,32,47,307,1024,0.9001488701140065,0.08988088174648394,0.2998014038434175,0.3330575794702867,0.4678046232268905,2.0,189,116.21706507675563,0.9499490652535467,4.314644635427734,7.998209284551708,0.22559660413476285,0.0006450000000768341
CGI_binary_30_size32_samprat60_seed47,CGI,Binary,30,60,32,47,614,1024,0.3007685260586319,0.21030681979114996,0.45859221514451154,1.5247347225872587,0.8815514366058435,2.0,529,71.20540938981775,0.45304502282123377,3.476017372693944,8.936840221041756,0.23689745221756925,0.00046550000115530565
DGI_binary_30_size32_samprat60_seed47,DGI,Binary,30,60,32,47,614,1024,0.3007685260586319,0.21030681979114996,0.45859221514451154,1.5247347225872587,0.8815514366058435,2.0,529,71.20540938981775,0.45304502282123377,3.5664407790018076,8.8253094350859,0.28186126367550385,0.0007146999996621162
Ridge_binary_30_size32_samprat60_seed47,Ridge,Binary,30,60,32,47,614,1024,0.3007685260586319,0.21030681979114996,0.45859221514451154,1.5247347225872587,0.8815514366058435,2.0,529,71.20540938981775,0.45304502282123377,2.3481860770806535,10.640334517404128,0.40431752363883644,0.0007804999986547045
CGI_binary_60_size32_samprat60_seed47,CGI,Binary,60,60,32,47,614,1024,0.6003425921213354,0.2399313642063714,0.4898278924340379,0.8159139445735389,0.9700719511823578,2.0,492,132.89222522930436,0.7070797250819895,3.978446492755619,8.350524389470639,0.22981653805766863,0.0007594999988214113
DGI_binary_60_size32_samprat60_seed47,DGI,Binary,60,60,32,47,614,1024,0.6003425921213354,0.2399313642063714,0.4898278924340379,0.8159139445735389,0.9700719511823578,2.0,492,132.89222522930436,0.7070797250819895,3.310629768349655,9.148553446339925,0.28355455346224695,0.002416200004518032
Ridge_binary_60_size32_samprat60_seed47,Ridge,Binary,60,60,32,47,614,1024,0.6003425921213354,0.2399313642063714,0.4898278924340379,0.8159139445735389,0.9700719511823578,2.0,492,132.89222522930436,0.7070797250819895,1.9899442898009134,11.359250423020022,0.42253367772023837,0.0006501000025309622
CGI_binary_90_size32_samprat60_seed47,CGI,Binary,90,60,32,47,614,1024,0.8999675539495114,0.09002595578764468,0.30004325652752917,0.33339341536309247,0.4683840356246482,2.0,380,331.8671282732097,0.9425315966695346,3.9931838116432026,8.334466586190345,0.204514695386453,0.000502099996083416
DGI_binary_90_size32_samprat60_seed47,DGI,Binary,90,60,32,47,614,1024,0.8999675539495114,0.09002595578764468,0.30004325652752917,0.33339341536309247,0.4683840356246482,2.0,380,331.8671282732097,0.9425315966695346,3.4845470486860415,8.926196276540132,0.27919947905404163,0.0006417000040528364
Ridge_binary_90_size32_samprat60_seed47,Ridge,Binary,90,60,32,47,614,1024,0.8999675539495114,0.09002595578764468,0.30004325652752917,0.33339341536309247,0.4683840356246482,2.0,380,331.8671282732097,0.9425315966695346,2.3382698632057037,10.658713281439054,0.4057093186012998,0.0012237000046297908
